bri,watt
1,1.14
2,1.08
3,1.14
4,1.21
5,1.21
6,1.26
7,1.25
8,1.28
9,1.31
10,1.28
11,1.36
12,1.38
13,1.41
14,1.41
15,1.35
16,1.47
17,1.49
18,1.51
19,1.5
20,1.59
21,1.55
22,1.54
23,1.59
24,1.6
25,1.64
26,1.75
27,1.7
28,1.68
29,1.73
30,1.69
31,1.76
32,1.78
33,1.8
34,1.84
35,1.87
36,1.91
37,1.87
38,1.95
39,1.94
40,1.96
41,1.95
42,1.99
43,2.05
44,2.06
45,2.12
46,2.12
47,2.01
48,2.12
49,2.04
50,2.17
51,2.19
52,2.14
53,2.26
54,2.22
55,2.24
56,2.36
57,2.33
58,2.3
59,2.36
60,2.35
61,2.42
62,2.4
63,2.46
64,2.41
65,2.46
66,2.46
67,2.49
68,2.5
69,2.5
70,2.66
71,2.58
72,2.67
73,2.61
74,2.61
75,2.79
76,2.75
77,2.7
78,2.76
79,2.71
80,2.81
81,2.73
82,2.82
83,2.86
84,2.8
85,2.88
86,2.93
87,2.9
88,2.92
89,3.03
90,2.94
91,3.04
92,2.99
93,3.06
94,3.02
95,3.05
96,3.11
97,3.12
98,3.15
99,3.14
100,3.16
101,3.22
102,3.25
103,3.21
104,3.21
105,3.27
106,3.32
107,3.31
108,3.31
109,3.37
110,3.4
111,3.37
112,3.38
113,3.45
114,3.46
115,3.47
116,3.55
117,3.56
118,3.57
119,3.57
120,3.64
121,3.6
122,3.69
123,3.67
124,3.66
125,3.67
126,3.67
127,3.73
128,3.71
129,3.78
130,3.84
131,3.77
132,3.9
133,3.86
134,3.91
135,3.85
136,3.97
137,3.94
138,3.98
139,4.01
140,3.96
141,4.02
142,4.07
143,4.14
144,4.08
145,4.16
146,4.17
147,4.12
148,4.22
149,4.21
150,4.23
151,4.25
152,4.29
153,4.29
154,4.29
155,4.3
156,4.34
157,4.39
158,4.42
159,4.4
160,4.36
161,4.48
162,4.52
163,4.51
164,4.51
165,4.56
166,4.62
167,4.61
168,4.67
169,4.6
170,4.64
171,4.69
172,4.67
173,4.72
174,4.78
175,4.81
176,4.71
177,4.73
178,4.82
179,4.85
180,4.87
181,4.9
182,4.88
183,4.94
184,4.96
185,4.99
186,5.01
187,5.02
188,5.07
189,5.0
190,5.16
191,5.09
192,5.08
193,5.08
194,5.14
195,5.14
196,5.19
197,5.18
198,5.22
199,5.28
200,5.21
201,5.27
202,5.3
203,5.38
204,5.34
205,5.42
206,5.37
207,5.43
208,5.4
209,5.53
210,5.49
211,5.49
212,5.5
213,5.52
214,5.58
215,5.62
216,5.63
217,5.69
218,5.69
219,5.69
220,5.76
221,5.72
222,5.72
223,5.84
224,5.77
225,5.85
226,5.81
227,5.84
228,5.87
229,5.98
230,5.89
231,5.89
232,5.99
233,5.98
234,5.91
235,5.96
236,6.02
237,6.03
238,6.09
239,6.1
240,6.12
241,6.21
242,6.22
243,6.13
244,6.13
245,6.23
246,6.26
247,6.29
248,6.2
249,6.32
250,6.3
251,6.29
252,6.34
253,6.4
254,6.39
255,6.46
