bri,mired,watt
1,153,1.02
1,163,1.02
1,173,1.0
1,183,1.06
1,193,1.05
1,203,1.1
1,213,1.07
1,223,1.12
1,233,1.02
1,243,1.11
1,253,1.06
1,263,1.1
1,273,1.06
1,283,1.11
1,293,1.13
1,303,1.07
1,313,1.07
1,323,1.11
1,333,1.09
1,343,1.05
1,353,1.05
1,363,1.03
1,373,1.11
1,383,1.08
1,393,1.1
1,403,1.12
1,413,1.13
1,423,1.09
1,433,1.12
1,443,1.07
1,453,1.11
1,463,1.14
1,473,1.13
1,483,1.04
1,493,1.08
1,500,1.1
6,153,1.23
6,163,1.11
6,173,1.19
6,183,1.14
6,193,1.23
6,203,1.22
6,213,1.21
6,223,1.1
6,233,1.1
6,243,1.16
6,253,1.26
6,263,1.18
6,273,1.24
6,283,1.21
6,293,1.22
6,303,1.21
6,313,1.17
6,323,1.24
6,333,1.19
6,343,1.26
6,353,1.18
6,363,1.23
6,373,1.27
6,383,1.28
6,393,1.18
6,403,1.29
6,413,1.18
6,423,1.27
6,433,1.22
6,443,1.26
6,453,1.19
6,463,1.19
6,473,1.27
6,483,1.29
6,493,1.16
6,500,1.26
11,153,1.35
11,163,1.24
11,173,1.28
11,183,1.29
11,193,1.28
11,203,1.33
11,213,1.28
11,223,1.34
11,233,1.41
11,243,1.35
11,253,1.36
11,263,1.35
11,273,1.37
11,283,1.36
11,293,1.36
11,303,1.39
11,313,1.42
11,323,1.37
11,333,1.4
11,343,1.32
11,353,1.29
11,363,1.32
11,373,1.26
11,383,1.32
11,393,1.37
11,403,1.32
11,413,1.29
11,423,1.35
11,433,1.36
11,443,1.36
11,453,1.33
11,463,1.33
11,473,1.38
11,483,1.32
11,493,1.3
11,500,1.28
16,153,1.42
16,163,1.34
16,173,1.45
16,183,1.49
16,193,1.44
16,203,1.38
16,213,1.36
16,223,1.46
16,233,1.43
16,243,1.46
16,253,1.4
16,263,1.44
16,273,1.49
16,283,1.37
16,293,1.48
16,303,1.53
16,313,1.48
16,323,1.44
16,333,1.4
16,343,1.52
16,353,1.48
16,363,1.45
16,373,1.38
16,383,1.38
16,393,1.48
16,403,1.45
16,413,1.37
16,423,1.45
16,433,1.38
16,443,1.44
16,453,1.39
16,463,1.43
16,473,1.51
16,483,1.41
16,493,1.48
16,500,1.4
21,153,1.46
21,163,1.56
21,173,1.55
21,183,1.51
21,193,1.47
21,203,1.52
21,213,1.49
21,223,1.49
21,233,1.51
21,243,1.38
21,253,1.55
21,263,1.46
21,273,1.38
21,283,1.41
21,293,1.42
21,303,1.48
21,313,1.52
21,323,1.46
21,333,1.48
21,343,1.53
21,353,1.46
21,363,1.48
21,373,1.54
21,383,1.55
21,393,1.5
21,403,1.52
21,413,1.54
21,423,1.52
21,433,1.56
21,443,1.54
21,453,1.57
21,463,1.49
21,473,1.59
21,483,1.51
21,493,1.55
21,500,1.58
26,153,1.64
26,163,1.65
26,173,1.6
26,183,1.55
26,193,1.64
26,203,1.67
26,213,1.67
26,223,1.7
26,233,1.7
26,243,1.61
26,253,1.72
26,263,1.66
26,273,1.66
26,283,1.7
26,293,1.67
26,303,1.7
26,313,1.73
26,323,1.73
26,333,1.74
26,343,1.75
26,353,1.79
26,363,1.74
26,373,1.7
26,383,1.68
26,393,1.71
26,403,1.71
26,413,1.68
26,423,1.79
26,433,1.7
26,443,1.73
26,453,1.68
26,463,1.62
26,473,1.62
26,483,1.77
26,493,1.65
26,500,1.69
31,153,1.8
31,163,1.75
31,173,1.72
31,183,1.71
31,193,1.73
31,203,1.66
31,213,1.74
31,223,1.65
31,233,1.69
31,243,1.59
31,253,1.67
31,263,1.76
31,273,1.82
31,283,1.79
31,293,1.76
31,303,1.78
31,313,1.75
31,323,1.78
31,333,1.81
31,343,1.86
31,353,1.88
31,363,1.79
31,373,1.84
31,383,1.85
31,393,1.84
31,403,1.81
31,413,1.83
31,423,1.79
31,433,1.77
31,443,1.77
31,453,1.83
31,463,1.76
31,473,1.72
31,483,1.81
31,493,1.81
31,500,1.83
36,153,1.86
36,163,1.9
36,173,1.91
36,183,1.9
36,193,1.93
36,203,1.88
36,213,1.9
36,223,1.86
36,233,1.92
36,243,1.88
36,253,1.94
36,263,1.97
36,273,1.94
36,283,1.96
36,293,1.88
36,303,1.91
36,313,1.95
36,323,1.93
36,333,1.92
36,343,1.95
36,353,1.92
36,363,1.93
36,373,1.94
36,383,1.97
36,393,1.93
36,403,1.94
36,413,1.96
36,423,1.94
36,433,1.91
36,443,1.94
36,453,1.93
36,463,1.97
36,473,1.82
36,483,1.91
36,493,1.94
36,500,1.94
41,153,1.95
41,163,1.99
41,173,1.96
41,183,2.0
41,193,1.83
41,203,1.89
41,213,1.95
41,223,1.94
41,233,1.95
